Patron #,Total All Revenue,Most Recent Donation Date,Total Donations,Total Ticket Revenue,Total Tickets,2002 Qty,2002 Total Cost,2003 Qty,2003 Total Cost,2004 Qty,2004 Total Cost,2005 Qty,2005 Total Cost,2006 Qty,2006 Total Cost,2007 Qty,2007 Total Cost,2008 Qty,2008 Total Cost,2009 Qty,2009 Total Cost,2010 Qty,2010 Total Cost,2011 Qty,2011 Total Cost,2012 Qty,2012 Total Cost,2013 Qty,2013 Total Cost,2014 Qty,2014 Total Cost,2015 Qty,2015 Total Cost,2004 Donation,2005 Donation,2006 Donation,2007 Donation,2008 Donation,2009 Donation,2010 Donation,2011 Donation,2012 Donation,2013 Donation,2014 Donation,2015 Donation
737,1297.67,,0.00,1297.67,43,4,100,2,52,4,104,2,0,7,174.67,12,417,8,299,4,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
743,568.00,,0.00,568.00,14,0,0,0,0,0,0,0,0,0,0,0,0,10,398,4,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751,50.00,7/27/2007,12.00,38.00,2,0,0,0,0,0,0,0,0,0,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
761,2902.00,12/30/2011,266.00,2636.00,74,0,0,8,218,8,218,6,196,10,327,9,315,9,354,8,328,8,340,8,340,0,0,0,0,0,0,0,0,30,16,35,25,25,35,50,25,25,0,0,0
788,94.00,,0.00,94.00,4,0,0,2,46,0,0,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798,2233.00,7/24/2012,560.00,1673.00,56,0,0,0,0,8,230,8,176,8,184,8,239,8,252,8,272,0,0,0,0,8,320,0,0,0,0,0,0,50,0,25,65,95,125,0,0,200,0,0,0
812,48.00,,0.00,48.00,2,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813,107.50,,0.00,107.50,10,0,0,0,0,0,0,2,18.5,4,40.5,4,48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817,24.50,,0.00,24.50,2,0,0,0,0,0,0,0,0,0,0,2,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823,4792.00,3/20/2014,1200.00,3592.00,90,8,156,8,240,8,406,8,230,8,560,8,290,8,321,8,333,8,332,6,234,2,86,4,140,4,154,2,110,0,300,100,100,100,0,100,100,100,100,100,100
829,462.00,,0.00,462.00,19,6,122,2,52,4,118,2,64,5,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836,15000.00,3/12/2014,15000.00,0.00,36,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,24,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5000,5000,5000
842,5650.00,4/24/2006,5400.00,250.00,2,0,0,0,0,2,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,5000,0,0,0,0,0,0,0,0,0
846,1148.00,2/9/2007,400.00,748.00,74,10,150,4,70,7,0,18,12,10,0,10,110,9,123,0,0,0,0,2,100,4,183,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0
873,486.00,,0.00,486.00,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,3,141,2,60,4,164,0,0,2,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
886,11329.93,12/13/2013,1315.00,10014.93,290,26,700,24,720,24,720,21,557.6,16,675,19,702.33,16,632,16,656,16,680,20,800,20,800,24,736,24,810,24,826,100,100,115,100,100,100,200,0,100,100,200,100
889,200.00,,0.00,200.00,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
896,328.00,,0.00,328.00,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,90,7,144,0,0,0,0,3,40,0,0,4,54,0,0,0,0,0,0,0,0,0,0,0,0
904,43165.50,1/8/2014,33798.00,9367.50,312,14,268,8,240,15,303,21,477.5,17,394,26,668,20,680,20,708,32,904,26,874,32,1124,28,886,20,752,33,1089,3500,3250,0,0,20,3,25,0,2000,9000,8000,8000
907,156.00,,0.00,156.00,5,1,35,4,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
921,1600.68,,0.00,1600.68,64,3,78,8,208,8,123,18,288.68,7,260,4,148,2,76,7,322,7,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
989,516.00,,0.00,516.00,18,10,246,8,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,68.00,,0.00,68.00,3,0,0,0,0,3,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,380.00,,0.00,380.00,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,380,0,0,0,0,0,0,0,0,0,0,0,0
1038,242.00,,0.00,242.00,11,0,0,0,0,0,0,0,0,0,0,11,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,270.00,,0.00,270.00,15,0,0,0,0,15,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,958.00,3/7/2013,75.00,883.00,34,8,125,0,0,2,52,0,0,4,108,20,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,25,0,0
1054,437.00,,0.00,437.00,20,0,0,0,0,0,0,0,0,20,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
